OrderID,Date,Location,City,State,Latitude,Longitude,Item,Category,Quantity,Price,TotalSales,CustomerType,PaymentMethod
1001,2024-03-23,Downtown,Chicago,IL,41.8781,-87.6298,Fries,Snacks,5,2.99,14.95,Regular,Online
1002,2024-03-07,Central Outlet,New York,NY,40.7128,-74.006,Sushi,Japanese,4,10.99,43.96,New,Online
1003,2024-03-01,West Branch,Los Angeles,CA,34.0522,-118.2437,Sushi,Japanese,1,10.99,10.99,Regular,Credit Card
1004,2024-03-29,Downtown,Chicago,IL,41.8781,-87.6298,Wrap,Healthy,2,6.99,13.98,New,Cash
1005,2024-01-09,West Branch,Los Angeles,CA,34.0522,-118.2437,Smoothie,Beverages,5,4.99,24.95,Regular,Credit Card
1006,2024-03-19,Central Outlet,New York,NY,40.7128,-74.006,Sushi,Japanese,5,10.99,54.95,Regular,Credit Card
1007,2024-01-28,South Point,Houston,TX,29.7604,-95.3698,Wrap,Healthy,1,6.99,6.99,New,Online
1008,2024-03-30,Downtown,Chicago,IL,41.8781,-87.6298,Salad,Healthy,3,6.49,19.47,Regular,Cash
1009,2024-02-18,East Side,Miami,FL,25.7617,-80.1918,Smoothie,Beverages,1,4.99,4.99,New,Credit Card
1010,2024-01-04,Downtown,Chicago,IL,41.8781,-87.6298,Burger,Fast Food,4,5.99,23.96,Regular,Online
1011,2024-02-04,East Side,Miami,FL,25.7617,-80.1918,Burger,Fast Food,5,5.99,29.95,Regular,Online
1012,2024-02-15,Downtown,Chicago,IL,41.8781,-87.6298,Pasta,Italian,5,7.99,39.95,New,Cash
1013,2024-03-13,South Point,Houston,TX,29.7604,-95.3698,Sushi,Japanese,5,10.99,54.95,Regular,Cash
1014,2024-03-02,Downtown,Chicago,IL,41.8781,-87.6298,Fries,Snacks,1,2.99,2.99,New,Cash
1015,2024-02-19,South Point,Houston,TX,29.7604,-95.3698,Salad,Healthy,4,6.49,25.96,Regular,Credit Card
1016,2024-02-24,Central Outlet,New York,NY,40.7128,-74.006,Fries,Snacks,5,2.99,14.95,Regular,Cash
1017,2024-03-15,West Branch,Los Angeles,CA,34.0522,-118.2437,Sushi,Japanese,5,10.99,54.95,Regular,Online
1018,2024-03-17,South Point,Houston,TX,29.7604,-95.3698,Sushi,Japanese,4,10.99,43.96,New,Online
1019,2024-01-08,East Side,Miami,FL,25.7617,-80.1918,Salad,Healthy,4,6.49,25.96,Regular,Cash
1020,2024-03-01,Central Outlet,New York,NY,40.7128,-74.006,Pizza,Fast Food,3,8.99,26.97,New,Credit Card
1021,2024-02-01,East Side,Miami,FL,25.7617,-80.1918,Smoothie,Beverages,2,4.99,9.98,New,Credit Card
1022,2024-01-28,East Side,Miami,FL,25.7617,-80.1918,Burger,Fast Food,2,5.99,11.98,Regular,Cash
1023,2024-03-12,Downtown,Chicago,IL,41.8781,-87.6298,Pizza,Fast Food,2,8.99,17.98,Regular,Online
1024,2024-03-10,Downtown,Chicago,IL,41.8781,-87.6298,Salad,Healthy,4,6.49,25.96,Regular,Credit Card
1025,2024-03-16,Downtown,Chicago,IL,41.8781,-87.6298,Smoothie,Beverages,2,4.99,9.98,Regular,Cash
1026,2024-03-01,East Side,Miami,FL,25.7617,-80.1918,Wrap,Healthy,4,6.99,27.96,Regular,Cash
1027,2024-03-18,East Side,Miami,FL,25.7617,-80.1918,Burger,Fast Food,4,5.99,23.96,New,Cash
1028,2024-01-29,Downtown,Chicago,IL,41.8781,-87.6298,Fries,Snacks,3,2.99,8.97,New,Online
1029,2024-03-07,Central Outlet,New York,NY,40.7128,-74.006,Salad,Healthy,5,6.49,32.45,New,Cash
1030,2024-01-28,South Point,Houston,TX,29.7604,-95.3698,Wrap,Healthy,4,6.99,27.96,Regular,Online
1031,2024-02-17,South Point,Houston,TX,29.7604,-95.3698,Sushi,Japanese,4,10.99,43.96,Regular,Credit Card
1032,2024-02-12,Downtown,Chicago,IL,41.8781,-87.6298,Sushi,Japanese,4,10.99,43.96,New,Cash
1033,2024-02-17,East Side,Miami,FL,25.7617,-80.1918,Smoothie,Beverages,1,4.99,4.99,Regular,Online
1034,2024-03-27,Central Outlet,New York,NY,40.7128,-74.006,Sushi,Japanese,2,10.99,21.98,New,Credit Card
1035,2024-03-17,Central Outlet,New York,NY,40.7128,-74.006,Wrap,Healthy,4,6.99,27.96,New,Cash
1036,2024-02-21,Downtown,Chicago,IL,41.8781,-87.6298,Wrap,Healthy,1,6.99,6.99,Regular,Credit Card
1037,2024-02-08,South Point,Houston,TX,29.7604,-95.3698,Pizza,Fast Food,2,8.99,17.98,Regular,Credit Card
1038,2024-03-22,Central Outlet,New York,NY,40.7128,-74.006,Burger,Fast Food,1,5.99,5.99,Regular,Credit Card
1039,2024-03-17,South Point,Houston,TX,29.7604,-95.3698,Burger,Fast Food,4,5.99,23.96,New,Cash
1040,2024-03-17,South Point,Houston,TX,29.7604,-95.3698,Sushi,Japanese,4,10.99,43.96,Regular,Credit Card
1041,2024-03-29,Central Outlet,New York,NY,40.7128,-74.006,Smoothie,Beverages,2,4.99,9.98,Regular,Online
1042,2024-03-16,Central Outlet,New York,NY,40.7128,-74.006,Pasta,Italian,4,7.99,31.96,New,Credit Card
1043,2024-02-11,South Point,Houston,TX,29.7604,-95.3698,Burger,Fast Food,3,5.99,17.97,Regular,Credit Card
1044,2024-03-08,East Side,Miami,FL,25.7617,-80.1918,Pasta,Italian,4,7.99,31.96,New,Cash
1045,2024-02-22,South Point,Houston,TX,29.7604,-95.3698,Burger,Fast Food,5,5.99,29.95,Regular,Online
1046,2024-01-04,South Point,Houston,TX,29.7604,-95.3698,Smoothie,Beverages,2,4.99,9.98,New,Cash
1047,2024-01-19,Downtown,Chicago,IL,41.8781,-87.6298,Smoothie,Beverages,5,4.99,24.95,Regular,Cash
1048,2024-02-02,East Side,Miami,FL,25.7617,-80.1918,Fries,Snacks,2,2.99,5.98,Regular,Cash
1049,2024-01-30,East Side,Miami,FL,25.7617,-80.1918,Pizza,Fast Food,5,8.99,44.95,New,Cash
1050,2024-03-05,South Point,Houston,TX,29.7604,-95.3698,Fries,Snacks,4,2.99,11.96,Regular,Online
1051,2024-01-28,Central Outlet,New York,NY,40.7128,-74.006,Sushi,Japanese,2,10.99,21.98,New,Online
1052,2024-03-21,Central Outlet,New York,NY,40.7128,-74.006,Pizza,Fast Food,1,8.99,8.99,New,Online
1053,2024-03-27,South Point,Houston,TX,29.7604,-95.3698,Pizza,Fast Food,4,8.99,35.96,Regular,Credit Card
1054,2024-02-22,West Branch,Los Angeles,CA,34.0522,-118.2437,Wrap,Healthy,3,6.99,20.97,New,Online
1055,2024-01-29,East Side,Miami,FL,25.7617,-80.1918,Pizza,Fast Food,2,8.99,17.98,New,Online
1056,2024-03-29,South Point,Houston,TX,29.7604,-95.3698,Burger,Fast Food,3,5.99,17.97,New,Credit Card
1057,2024-02-14,East Side,Miami,FL,25.7617,-80.1918,Pasta,Italian,1,7.99,7.99,New,Credit Card
1058,2024-02-05,Downtown,Chicago,IL,41.8781,-87.6298,Burger,Fast Food,5,5.99,29.95,Regular,Cash
1059,2024-01-18,South Point,Houston,TX,29.7604,-95.3698,Pizza,Fast Food,3,8.99,26.97,New,Credit Card
1060,2024-02-04,West Branch,Los Angeles,CA,34.0522,-118.2437,Wrap,Healthy,5,6.99,34.95,New,Cash
1061,2024-03-13,East Side,Miami,FL,25.7617,-80.1918,Smoothie,Beverages,5,4.99,24.95,New,Credit Card
1062,2024-03-08,East Side,Miami,FL,25.7617,-80.1918,Burger,Fast Food,2,5.99,11.98,New,Cash
1063,2024-01-15,Downtown,Chicago,IL,41.8781,-87.6298,Sushi,Japanese,5,10.99,54.95,Regular,Online
1064,2024-03-03,West Branch,Los Angeles,CA,34.0522,-118.2437,Burger,Fast Food,4,5.99,23.96,Regular,Online
1065,2024-03-11,Central Outlet,New York,NY,40.7128,-74.006,Pizza,Fast Food,2,8.99,17.98,New,Online
1066,2024-01-20,South Point,Houston,TX,29.7604,-95.3698,Burger,Fast Food,4,5.99,23.96,Regular,Online
1067,2024-03-22,Downtown,Chicago,IL,41.8781,-87.6298,Burger,Fast Food,3,5.99,17.97,Regular,Cash
1068,2024-02-19,East Side,Miami,FL,25.7617,-80.1918,Pasta,Italian,4,7.99,31.96,New,Cash
1069,2024-02-22,West Branch,Los Angeles,CA,34.0522,-118.2437,Pasta,Italian,1,7.99,7.99,New,Cash
1070,2024-03-19,Central Outlet,New York,NY,40.7128,-74.006,Fries,Snacks,4,2.99,11.96,New,Online
